Soil_color,Nitrogen,Phosphorus,Potassium,pH,Crop,Fertilizer
Black,75,50,100,6.5,Sugarcane,Urea
Black,80,50,100,6.5,Sugarcane,Urea
Black,85,50,100,6.5,Sugarcane,Urea
Black,90,50,100,6.5,Sugarcane,Urea
Black,95,50,100,6.5,Sugarcane,Urea
Black,100,50,100,6.5,Sugarcane,Urea
Black,75,55,105,7,Sugarcane,Urea
Black,80,55,105,7,Sugarcane,Urea
Black,85,55,105,7,Sugarcane,Urea
Black,90,55,105,7,Sugarcane,Urea
Black,95,55,105,7,Sugarcane,Urea
Black,100,55,105,7,Sugarcane,Urea
Black,75,60,110,7.5,Sugarcane,Urea
Black,80,60,110,7.5,Sugarcane,Urea
Black,85,60,110,7.5,Sugarcane,Urea
Black,90,60,110,7.5,Sugarcane,Urea
Black,95,60,110,7.5,Sugarcane,Urea
Black,100,60,110,7.5,Sugarcane,Urea
Black,75,50,115,6.5,Sugarcane,Urea
Black,80,50,115,6.5,Sugarcane,Urea
Black,85,50,115,6.5,Sugarcane,Urea
Black,90,50,115,6.5,Sugarcane,Urea
Black,95,50,115,6.5,Sugarcane,Urea
Black,100,50,115,6.5,Sugarcane,Urea
Black,75,55,100,7,Sugarcane,DAP
Black,80,55,100,7,Sugarcane,DAP
Black,85,55,100,7,Sugarcane,DAP
Black,90,55,100,7,Sugarcane,DAP
Black,95,55,100,7,Sugarcane,DAP
Black,100,55,100,7,Sugarcane,DAP
Black,75,60,105,7.5,Sugarcane,DAP
Black,80,60,105,7.5,Sugarcane,DAP
Black,85,60,105,7.5,Sugarcane,DAP
Black,90,60,105,7.5,Sugarcane,DAP
Black,95,60,105,7.5,Sugarcane,DAP
Black,100,60,105,7.5,Sugarcane,DAP
Black,75,50,110,6.5,Sugarcane,DAP
Black,80,50,110,6.5,Sugarcane,DAP
Black,85,50,110,6.5,Sugarcane,DAP
Black,90,50,110,6.5,Sugarcane,DAP
Black,95,50,110,6.5,Sugarcane,DAP
Black,100,50,110,6.5,Sugarcane,DAP
Black,75,55,115,7,Sugarcane,DAP
Black,80,55,115,7,Sugarcane,DAP
Black,85,55,115,7,Sugarcane,DAP
Black,90,55,115,7,Sugarcane,DAP
Black,95,55,115,7,Sugarcane,DAP
Black,100,55,115,7,Sugarcane,DAP
Black,75,60,100,7.5,Sugarcane,MOP
Black,80,60,100,7.5,Sugarcane,MOP
Black,85,60,100,7.5,Sugarcane,MOP
Black,90,60,100,7.5,Sugarcane,MOP
Black,95,60,100,7.5,Sugarcane,MOP
Black,100,60,100,7.5,Sugarcane,MOP
Black,75,50,105,6.5,Sugarcane,MOP
